nvar_id,svar_name,nchar1,nchar2,nchar3,nchar4,nchar5,nchar6,nchar7,nchar8,nchar9,nchar10,nchar11,nchar12,nchar13,nchar14,nchar15,nchar16,nchar17,nchar18,nchar19,nchar20,nchar21,nchar22,nchar23,nchar24,nchar25,nchar26,nchar27,nchar28,nchar29,nchar30,nchar31,nchar32,nchar33,nchar34,nchar35,nchar36,nchar37,nchar38,m9,m15,m18,m27,m29,m30,m31,m32,m33
1,Achille,7,1,0,1,7,5,3,3,5,1,1,1,5,1,1,1,1,7,1,0,0,1,4,3,3,9,7,2,5,7,3,7,3,5,1,3,2,1,119,56.8,21.2,155,28.1,10.13,2.52,7.65,2.31
3,Adone,5,1,0,1,7,5,3,5,9,1,1,1,1,1,3,1,1,7,1,0,0,7,1,3,5,7,7,1,7,7,5,7,5,3,1,3,1,1,105,69.8,22,160,38.2,9.19,3.49,6.66,2.87
4,Adret,5,1,0,1,7,7,3,5,3,1,1,1,7,1,3,1,1,5,1,0,0,1,5,3,3,9,3,2,5,7,3,7,3,5,1,3,0,1,106,73.8,18,155,27.6,9.71,2.42,7.61,2.16
5,Aegeon,5,1,0,1,7,5,3,0,9,1,3,3,5,1,7,1,1,5,0,0,3,5,4,0,0,9,7,3,7,7,7,7,7,3,1,3,0,1,116,96,18.1,157,41.69,9.5,3.8,7.2,3.3
6,Afar,5,1,0,1,7,5,1,3,9,1,1,1,1,1,3,1,1,7,9,1,1,7,1,3,5,5,9,1,7,7,7,7,7,2,1,3,1,1,111,69.8,22.6,165,45.5,8.96,4.18,6.72,3.49
7,Aguirre,7,1,0,1,7,5,3,3,9,1,1,1,1,1,1,1,1,7,1,0,0,1,1,2,3,5,7,1,3,7,3,7,3,5,1,3,2,1,102,58.6,20.2,146,22.1,9.4,2.7,6.9,2.2
8,Aiace,7,1,0,1,5,5,3,5,3,1,1,1,3,1,1,1,1,5,1,0,0,5,1,3,3,7,3,2,5,7,5,7,3,4,1,3,2,1,82,60,19.6,130,27.83,9.17,2.82,6.9,2.48
9,Akitakomachi,5,1,1,1,7,3,3,3,5,1,1,1,1,1,5,1,1,5,9,2,3,5,1,3,5,9,3,2,5,3,5,3,5,2,1,3,1,1,84,80.4,17.6,127,25.4,7.38,3.27,5.15,2.8
10,Albatros,5,1,0,1,5,5,3,1,3,1,1,1,1,1,3,1,1,5,1,0,0,1,1,2,3,9,5,2,3,7,3,7,3,5,1,3,1,1,83,71.8,15.6,140,22.71,9.55,2.65,7.33,2.31
11,Albufera,3,1,0,1,5,7,1,1,9,1,1,1,1,1,3,1,1,3,1,0,0,5,1,1,1,7,9,2,5,3,5,3,7,2,1,3,2,1,121,66.6,11.8,170,29.14,7.03,3.67,5.23,3.12
12,Alena,5,1,0,1,7,7,1,3,9,1,1,1,5,1,3,1,1,7,1,0,0,1,3,3,5,3,7,2,3,7,3,7,3,5,1,3,1,1,113,60.2,20.4,160,23.65,8.88,2.49,6.9,2.23
13,Aleramo,3,1,0,1,7,5,3,3,5,1,1,1,1,1,5,1,1,5,9,5,5,3,5,3,5,7,7,4,7,7,7,7,7,3,1,3,1,1,88,86.7,16.8,150,52.82,10.1,4.3,7.5,3.6
14,Alice,5,1,0,1,5,5,3,5,5,1,1,1,1,1,3,1,1,5,1,0,0,1,1,2,1,5,5,2,5,7,5,7,5,4,1,3,2,1,89,73.2,15,144,34.04,9.03,3.14,7.13,2.75
16,Alpe,3,1,0,1,5,5,3,3,5,1,1,1,1,1,5,1,1,5,1,0,0,5,1,2,3,9,3,2,5,5,5,7,5,3,1,3,1,1,85,84.2,16.6,135,27.49,8.37,3.2,6.38,2.75
17,Ambra,5,1,0,1,7,5,3,3,5,1,1,1,1,1,3,1,1,7,9,3,7,5,1,3,1,7,5,2,3,3,5,3,7,2,1,3,1,1,90,73.8,23.2,145,21.46,7.33,3.63,5.19,3.01
19,Andolla,5,1,0,1,7,5,5,5,5,1,1,1,1,1,3,1,1,5,1,0,0,5,1,3,3,7,3,2,5,7,3,7,3,5,1,3,2,1,85,73.2,18.8,133,29.98,10.39,2.72,7.87,2.33
20,Antares,7,1,0,1,5,3,3,5,5,1,1,1,7,1,3,1,1,5,1,0,0,1,4,3,3,9,5,2,5,7,5,7,5,4,1,3,1,1,86,74.3,16.2,138,34.69,9.7,3.1,7.2,2.6
21,Apollo,7,1,0,1,7,7,3,3,3,1,1,1,9,5,5,1,1,7,1,0,0,1,5,3,3,9,3,2,5,7,3,7,3,5,1,3,2,3,83,80.4,20.6,131,27.35,10.16,2.56,7.89,2.26
22,Arborio,5,1,0,9,7,5,3,3,9,1,5,5,7,1,9,9,9,5,1,0,0,9,3,3,5,9,5,3,7,7,7,7,7,3,1,3,1,1,105,101,19.4,145,35.52,9.43,4.04,7.07,3.4
23,Arcadia,7,1,0,1,7,7,3,5,9,1,1,1,1,1,3,1,1,5,1,0,0,1,1,3,3,9,7,2,5,5,5,7,5,3,1,3,0,1,103,75,16.8,150,31.6,8.29,3.24,6.4,2.82
24,Arco,5,1,0,1,5,5,5,7,7,1,1,1,1,1,5,1,1,5,1,0,0,5,1,2,1,9,5,2,5,7,5,7,5,3,1,3,1,1,95,86,18.6,142,29.82,8.52,3.09,6.49,2.67
25,Ares,5,1,0,1,5,5,3,5,5,1,1,1,1,1,3,1,1,5,1,0,0,5,1,2,3,7,3,2,5,7,5,7,5,4,1,3,1,1,90,74.6,17.2,135,33.13,8.92,3.08,7.01,2.69
26,Argo,5,1,0,1,7,7,3,3,9,1,5,5,7,1,5,1,1,7,1,0,0,9,5,3,5,9,5,4,7,5,7,5,7,2,1,3,2,1,100,77.4,20.2,145,36.61,8.01,3.93,5.95,3.34
27,Ariete,5,1,0,1,7,7,3,3,5,1,1,1,1,1,5,1,1,5,1,0,0,5,1,2,1,9,5,2,5,7,5,7,5,4,1,3,1,1,86,87.3,15,145,29.83,9.1,3.1,6.8,2.7
28,Aristotele,3,1,0,1,3,5,1,3,7,1,1,1,1,1,1,1,1,5,1,0,0,5,1,3,3,9,7,2,5,5,5,5,5,2,1,3,1,1,93,59.8,17,150,29.2,7.65,3.51,5.54,2.92
29,Arpa,5,1,0,1,3,5,3,3,5,1,1,1,1,1,5,1,1,3,1,0,0,5,1,2,1,9,7,2,5,3,7,3,7,2,1,3,2,1,88,75.8,13.6,160,31.45,7.16,3.76,5.31,3.2
30,Arsenal,5,1,0,1,5,5,3,5,3,1,1,1,1,1,3,1,1,5,1,0,0,3,4,3,5,5,3,1,3,7,3,7,3,5,1,3,2,1,85,66,21.8,135,25.12,9.12,2.45,7.12,2.11
31,Artemide,5,1,0,1,7,5,3,3,5,1,1,1,1,1,5,1,1,7,1,0,0,5,5,3,5,5,5,2,3,7,3,7,3,5,9,3,1,3,98,84.6,20.6,140,23.74,10.68,2.58,7.66,2.01
32,Artiglio,5,1,0,1,5,3,1,3,5,1,1,1,1,1,1,1,1,5,1,0,0,3,1,3,5,5,5,2,5,7,3,7,3,5,1,3,2,1,90,55.2,19.6,140,25.22,10.22,2.25,7.81,2.08
33,Asia,3,1,0,1,7,3,3,3,7,1,1,1,9,1,3,1,1,5,1,0,0,1,5,3,3,3,7,2,5,7,3,7,3,5,1,3,2,3,95,64.4,20,150,31.09,10.56,2.46,8.35,2.2
34,Asso,5,1,0,1,7,5,3,5,7,1,1,1,1,1,5,1,1,7,1,0,0,5,1,2,3,7,5,2,5,5,5,5,5,3,1,3,1,1,97,85,20.4,141,32.04,8.24,3.46,6.21,2.99
35,Astro,5,1,0,1,5,7,3,5,7,1,1,1,1,1,5,1,1,5,1,0,0,1,1,2,3,5,5,2,5,5,5,5,5,3,1,3,2,1,93,81,17.4,138,26.97,8.15,2.91,6.28,2.64
36,Atene,5,1,0,1,7,5,3,5,9,1,1,1,1,1,3,1,1,7,1,0,0,7,1,3,5,7,7,1,7,7,5,7,5,3,1,3,2,1,105,69.8,22,160,38.2,9.2,3.5,6.7,2.9
37,Atlantis,5,1,0,1,5,5,3,3,7,1,1,1,5,1,3,1,1,5,1,0,0,1,5,3,5,7,5,1,5,7,3,7,3,5,1,3,1,1,94,69.5,17.5,140,26.89,9.7,2.6,7.4,2.3
38,Augusto,5,1,0,1,7,7,3,3,5,1,1,1,1,1,5,1,1,7,1,0,0,5,1,3,5,9,5,2,3,7,5,7,5,4,1,3,1,1,85,74.8,22,138,23.74,9.08,3.07,6.8,2.64
39,Aurelia,5,1,0,1,7,5,3,3,9,1,1,1,1,1,3,1,1,7,1,0,0,5,1,3,5,7,7,2,5,7,3,7,3,5,1,3,0,1,123,68.4,21.8,159,27.15,10.1,2.5,7.7,2.2
40,Axios,5,1,0,1,7,5,3,5,9,1,1,1,1,1,5,1,1,7,1,0,0,5,1,3,5,9,7,2,7,7,5,7,7,3,1,3,0,1,105,85,20.4,155,36.8,9.53,3.66,7.09,3.07
41,Aychade,7,1,0,1,7,3,1,5,9,1,1,1,7,5,1,1,1,5,1,0,0,1,5,3,3,5,7,1,5,7,3,7,3,5,1,3,0,1,110,47,16.2,158,29.4,11.7,2.53,8.61,2.06
42,Bacco,5,1,0,1,5,7,5,5,5,1,1,1,1,1,7,1,1,5,1,0,0,5,1,2,5,7,6,2,7,7,5,7,7,3,1,3,1,1,85,78.65,15.5,145,40.33,9.7,3.6,7.4,3.1
43,Bahia,7,1,0,1,7,5,3,5,9,1,1,1,1,1,5,1,1,5,1,0,0,7,1,3,1,9,9,2,7,5,5,5,7,2,1,3,1,1,118,85,16.4,175,37.1,8.1,3.7,6,3.1
44,Baixet,7,1,0,1,5,7,1,1,9,1,1,1,1,1,1,1,1,5,9,5,5,3,1,2,3,5,9,1,5,7,5,5,5,3,1,3,1,1,110,44,16.8,168,33.1,8.8,3.4,6.3,2.9
45,Baldo,3,1,0,1,7,7,5,5,5,1,1,1,1,1,7,1,1,5,1,0,0,7,1,3,3,9,5,2,7,7,5,7,7,3,1,3,1,1,85,90.2,17.4,140,37,9.46,3.64,7.22,3.1
46,Balilla,5,1,0,1,3,3,3,3,5,1,1,1,1,1,5,1,1,3,1,0,0,5,1,2,3,9,7,2,5,3,5,3,7,2,1,3,1,1,88,82.51,13.66,150,27.3,6.99,3.58,5.12,3.08
47,Balilla X Sollana,3,1,0,1,7,5,3,3,9,1,1,1,1,1,5,1,1,5,1,0,0,7,1,3,5,9,9,2,5,3,5,3,7,2,1,3,0,1,114,88.8,19.8,165,30.9,7.24,3.64,5.21,3.11
49,Barcarin,5,1,0,1,7,5,5,5,9,1,1,1,3,1,3,1,1,7,1,0,0,1,5,3,5,7,9,2,5,7,3,7,3,5,1,3,0,1,121,68.6,20.2,165,30.04,10.56,2.63,7.87,2.3
50,Bendret,5,1,0,1,5,7,1,3,9,1,1,1,1,1,1,1,1,5,1,0,0,5,1,2,3,5,9,2,5,5,7,5,7,2,1,3,1,1,124,49.2,15.4,173,34.77,7.6,4.01,5.6,3.34
51,Benisants,5,1,0,1,5,7,3,3,9,1,1,1,1,1,1,1,1,5,1,0,0,7,1,3,5,5,9,2,7,5,7,5,7,2,1,3,1,1,123,57.2,16,183,37.75,8.02,4.2,5.72,3.43
53,Bianca,5,1,0,1,7,7,1,1,5,1,1,1,1,1,3,1,1,7,1,0,0,1,1,3,5,7,5,1,7,7,5,7,7,3,1,3,1,1,90,62.4,20.2,145,41.65,9.66,3.47,7.41,3.01
54,Bomba,3,1,0,1,7,5,3,3,9,1,1,1,1,1,7,1,1,5,9,5,5,7,1,3,3,9,7,2,3,5,5,3,3,3,1,3,2,1,120,93,18.8,160,18.8,7.66,2.93,5.33,2.49
55,Bombonet,5,1,0,1,5,7,3,3,7,1,1,1,1,1,5,1,1,3,9,5,7,9,1,3,3,5,7,2,7,5,7,5,7,2,1,3,1,1,110,80.6,13.4,155,37.41,8.33,3.9,6.07,3.25
56,Bravo,5,1,0,1,3,7,5,3,3,1,1,1,1,1,3,1,1,3,1,0,0,5,1,2,1,9,3,2,5,7,5,7,5,3,1,3,1,1,80,74,13.4,130,29.2,9.02,3.28,6.7,2.77
57,Brio,5,1,0,1,3,5,3,3,5,1,1,1,1,1,3,1,1,5,9,4,5,5,1,3,3,9,7,2,3,3,5,3,5,2,1,3,1,1,87,63.8,15.2,144,21.23,7.15,3.4,5.22,2.92
58,BS1,5,1,0,1,7,5,3,5,5,1,1,1,1,1,5,1,1,5,1,0,0,7,1,3,5,7,5,1,7,7,5,7,5,3,1,3,1,1,85,87.6,19.2,143,37.39,9.3,3.5,6.9,3
59,Cadet,5,1,0,1,7,7,3,5,5,1,1,1,1,1,3,1,1,7,1,0,0,5,1,3,3,9,5,2,3,7,3,7,3,4,1,3,1,1,90,65.4,20.4,140,19.95,9.39,2.76,6.88,2.31
60,Cala,7,1,0,1,7,7,3,3,7,1,1,1,7,1,3,1,1,5,1,0,0,1,1,3,3,5,7,2,3,7,3,7,3,5,1,3,1,1,116,60.8,17,155,24.19,9.17,2.54,6.87,2.21
61,Calca,3,1,0,1,5,5,3,5,9,1,1,1,1,1,5,1,1,5,1,0,0,9,1,3,1,9,9,2,5,5,5,5,5,2,1,3,1,1,107,82,14.4,162,33.7,8,3.6,5.8,3
62,Calipso,5,1,0,1,5,7,3,3,5,1,1,1,1,1,5,1,1,5,1,0,0,5,1,2,1,9,5,2,5,7,5,7,5,4,1,3,1,1,86,76.69,15.24,137,32.01,9,3.15,6.84,2.73
64,Carmen,5,1,0,1,7,5,5,5,5,1,1,1,1,1,3,1,1,5,1,0,0,7,1,3,3,9,3,2,7,7,5,7,5,4,1,3,1,1,86,74.6,18.6,129,39.1,9.65,3.14,7.63,2.69
65,Carmen (Es),5,1,0,1,5,5,5,5,9,1,1,1,7,5,3,1,1,5,9,1,3,1,5,3,3,5,7,2,5,7,3,7,3,5,1,3,1,1,126,62,18.2,160,27.83,10.18,2.44,7.81,2.19
66,Carnaroli,5,1,0,1,7,7,1,5,9,1,1,1,5,1,9,1,9,7,9,5,9,5,5,3,5,9,7,3,5,7,7,7,7,3,1,3,2,1,100,114.4,21.8,148,32.78,9.19,3.81,7.11,3.24
67,Carnise,3,1,0,1,7,5,3,3,6,1,1,1,5,1,5,1,1,7,1,0,0,5,5,3,5,9,6,4,7,7,7,7,7,3,1,3,2,1,109,78.8,21,145,42.03,9.39,4.06,7.14,3.36
68,Carnise Precoce,3,1,0,1,5,5,3,5,3,1,1,1,5,1,5,1,1,7,1,0,0,5,5,3,5,7,3,4,7,7,7,7,7,3,1,3,2,1,90,76,22,135,41.27,9.36,3.8,7.03,3.17
69,Castells,5,1,0,1,5,7,3,3,9,1,1,1,1,1,3,1,1,5,1,0,0,7,1,3,3,9,9,2,5,5,7,5,7,2,1,3,1,1,122,70.8,14.2,172,34.06,8.1,3.8,6,3.2
70,Castelmochi,5,1,0,1,5,3,3,5,5,1,1,1,1,1,5,1,1,5,9,4,7,5,3,3,3,7,3,2,3,3,5,3,5,2,1,1,1,1,85,75.6,17.2,135,24.6,6.88,3.48,4.64,2.87
71,Centauro,5,1,0,1,5,7,3,5,5,1,1,1,1,1,3,1,1,5,9,2,1,5,1,2,3,9,5,2,3,3,7,3,7,2,1,3,1,1,85,71.4,17.6,135,23.19,7.18,3.71,5.18,3.13
72,Cerere,5,1,0,1,3,5,1,3,5,1,1,1,1,1,3,1,1,5,9,3,5,5,1,2,3,9,5,2,5,3,5,3,5,2,1,3,1,1,90,63.4,16.6,145,28.28,7.39,3.52,5.15,2.99
73,Cervo,5,1,0,1,5,7,3,3,5,1,1,5,7,1,5,1,1,5,1,0,0,5,4,2,3,3,5,4,7,7,5,7,5,3,1,3,1,1,86,85.6,15.8,142,37.1,9.26,3.32,7.09,2.88
74,Cesare,7,9,4,9,5,5,5,5,9,1,7,7,9,5,3,9,9,5,1,0,0,1,6,3,5,9,5,2,5,5,5,5,5,3,1,3,2,1,106,64.2,18.6,138,29.55,8.15,3.41,6.26,2.96
75,Chimera,5,1,0,1,3,5,1,3,5,1,1,1,1,1,3,1,1,3,1,0,0,7,1,2,1,5,3,2,5,3,5,3,7,2,1,1,1,1,86,67.8,13.8,135,28.52,7.14,3.59,5.14,3.05
76,Cigalon,5,1,0,1,5,3,5,5,3,1,1,1,1,1,3,1,1,5,1,0,0,5,1,2,3,9,3,2,5,3,5,3,7,2,1,3,1,1,78,65.2,15.8,128,30,7.45,3.61,5.45,3.04
77,CL26,5,1,0,1,5,3,3,5,3,1,1,1,7,5,3,1,1,5,1,0,0,1,5,3,3,7,3,1,3,7,3,7,3,5,1,3,2,1,85,61,16.8,130,24.02,9,2.4,7,2.2
78,CL71,5,1,0,1,5,3,5,7,5,1,1,1,9,4,3,1,1,5,1,0,0,1,6,3,3,5,5,1,3,7,3,7,3,5,1,3,2,1,84,60,18,135,25.9,9.3,2.5,7.4,2.2
79,CL8825,5,1,0,1,5,5,3,5,5,1,1,1,1,1,5,1,1,5,1,0,0,1,1,0,0,7,3,2,5,3,5,3,7,2,1,3,1,1,86,79.2,17.6,126,28.78,7.1,3.5,5.2,3.1
80,Clavel,7,1,0,1,5,5,1,3,9,1,1,1,7,1,5,1,1,5,1,0,0,1,6,3,5,7,7,2,3,7,3,7,3,5,1,3,1,1,117,76.4,17.8,160,21.85,9.91,2.35,6.94,2.1
81,CLXL745,5,9,2,1,7,3,3,3,9,1,1,1,7,5,5,1,1,7,1,0,0,3,5,3,5,3,7,2,5,7,3,7,5,5,1,3,1,1,103,75.14,21.82,155,25.78,9.13,2.55,6.98,2.29
82,Cobra,5,1,0,1,3,5,3,3,5,1,1,1,1,1,5,1,1,5,1,0,0,1,1,2,5,7,7,2,5,7,5,7,5,3,1,3,1,1,91,85,18.8,146,32.61,8.87,3.2,6.61,2.8
83,Coco,5,1,0,1,7,5,3,5,3,1,1,1,1,1,3,1,1,5,1,0,0,1,1,2,3,9,5,2,5,5,5,5,5,3,1,3,0,1,104,72.6,18.2,142,29.8,8.34,3.31,6.24,3
84,Condor,5,1,0,1,5,5,1,3,9,1,1,1,5,1,1,1,1,5,1,0,0,1,5,3,3,7,7,2,5,7,3,7,3,5,1,3,2,1,107,55.2,19,150,26.31,9.9,2.43,7.85,2.13
85,Corbetta,3,1,0,1,7,5,3,5,3,1,1,1,5,1,5,1,1,5,1,0,0,7,3,3,3,9,3,3,5,5,7,5,7,2,1,3,0,1,80,75.4,18.8,135,31.93,8.12,3.85,6.03,3.23
86,Cormoran,5,1,0,1,7,5,3,3,9,1,1,1,1,1,3,1,1,5,1,0,0,3,1,3,5,3,9,2,5,7,3,7,3,5,1,3,2,1,123,60.8,19.4,166,29.04,10.25,2.59,7.84,2.22
87,Cosmic,5,1,0,1,5,3,1,3,9,1,1,1,3,5,1,1,1,5,1,0,0,1,4,3,3,7,5,1,5,7,3,7,3,5,1,3,0,1,103,52,17.8,143,26.5,9.74,2.51,7.53,2.22
88,Creso,5,1,0,1,5,7,1,3,5,1,1,1,1,1,3,1,1,5,1,0,0,3,1,3,3,7,5,2,3,7,5,7,5,3,1,3,1,1,90,65,18.8,145,24.63,9.05,3.22,6.56,2.74
89,Cripto,5,1,0,1,5,5,1,3,3,1,1,1,5,1,3,1,1,5,1,0,0,5,4,2,3,7,3,4,5,5,5,5,7,2,1,3,2,1,82,67.4,18.2,135,28.96,7.84,3.6,5.68,3.05
90,CRLB1,7,1,0,1,5,3,3,5,1,1,1,1,5,5,3,1,1,5,1,0,0,1,5,3,3,7,1,2,5,7,3,7,3,5,1,3,2,1,77,62.6,17.1,118,29.17,10.5,2.6,7.9,2.2
91,Crono,5,1,0,1,5,5,1,3,5,1,1,1,1,1,3,1,1,5,1,0,0,1,1,3,3,9,4,1,5,5,5,5,5,3,1,3,1,1,88,63,17.4,134,26,8.09,3.04,5.92,2.63
92,CRW3,5,1,0,1,5,5,1,3,3,1,1,1,3,1,5,1,1,5,9,2,3,3,3,2,3,9,3,2,5,3,5,3,5,2,1,1,1,1,85,86.7,16.6,135,26.84,7.4,3.5,5,2.9
93,Dardo,5,1,0,1,3,5,1,3,3,1,1,1,3,1,3,1,1,5,1,0,0,3,1,3,3,9,3,2,5,7,5,7,5,3,1,3,1,1,85,64.4,19.2,130,27.05,8.77,3.1,6.44,2.62
94,Dedalo,5,1,0,1,3,5,3,5,7,1,1,1,1,1,3,1,1,5,1,0,0,7,1,2,1,7,7,2,5,7,3,7,3,5,1,3,2,1,93,73,15.8,150,27.6,9.33,2.6,7.27,2.25
95,Delfino,5,1,0,1,3,5,5,5,5,1,1,1,1,1,3,1,1,5,1,0,0,3,1,2,3,9,5,2,5,5,5,5,5,3,1,3,1,1,87,64,14.6,136,29.33,8.24,3.39,6.11,2.9
96,Delmar,3,1,0,1,5,5,1,1,9,1,1,1,1,1,1,1,1,5,1,0,0,3,1,3,5,3,9,2,5,7,3,7,3,5,1,3,2,3,125,57,19.2,170,26.09,9.61,2.13,6.98,1.91
97,Delta,7,1,0,1,3,5,1,3,3,1,1,1,1,1,1,1,1,5,1,0,0,1,1,2,3,5,5,2,7,7,5,7,7,3,1,3,0,1,107,47.8,16,170,35.9,8.57,3.46,6.46,3.03
98,Deneb,5,1,0,1,5,5,1,3,5,1,1,1,1,1,5,1,1,5,9,2,1,1,1,3,3,9,5,2,5,5,5,5,5,3,1,3,1,1,88,81.3,17.9,137,30.37,8.35,3.29,6.09,2.84
99,Dimitra,5,1,0,1,5,7,1,3,9,1,1,1,1,1,3,1,1,5,1,0,0,5,1,3,3,9,9,2,5,7,5,7,5,3,1,3,0,1,121,73.4,16,180,34.14,8.74,3.19,6.7,2.79
100,Dion,5,1,0,1,7,5,3,3,9,1,1,1,1,1,5,1,1,5,1,0,0,5,1,2,3,7,7,2,5,5,5,5,5,3,1,3,0,1,110,75.4,17.6,151,27.3,8.32,3.04,6.17,2.61
101,Donana,5,1,0,1,7,3,3,3,9,1,1,1,7,5,1,1,1,7,1,0,0,1,5,3,3,5,7,2,5,7,3,7,3,5,1,3,1,1,114,55.4,22,157,25.3,9.19,2.4,7.18,2.12
102,Drago,5,1,0,1,5,7,3,5,3,1,1,1,1,1,5,1,1,5,1,0,0,5,1,3,5,9,7,2,5,7,5,7,5,3,1,3,1,1,82,83.4,15.6,160,29.49,8.88,3.17,6.77,2.73
103,Ducato,5,1,0,1,3,5,3,3,5,1,1,1,1,1,3,1,1,5,1,0,0,5,1,2,3,9,4,2,5,3,5,3,5,2,1,3,1,1,80,65,13.5,127,30.14,7.3,3.6,5.4,3.1
104,Dunarea,5,1,0,1,7,7,3,5,9,1,1,1,1,1,0,1,1,0,1,0,0,1,1,3,3,9,0,2,0,0,0,0,0,3,1,3,1,1,103,0,0,0,0,0,0,0,0
105,Ebro,5,1,0,1,7,3,5,5,5,1,1,1,1,1,5,1,1,5,1,0,0,1,1,3,5,9,3,2,5,7,5,7,5,4,1,3,1,1,85,76,17,135,29.11,8.84,2.96,6.64,2.58
106,Elba,5,1,0,1,7,5,5,5,3,1,1,1,1,1,7,1,1,5,1,0,0,1,1,3,3,9,5,2,7,7,5,7,7,3,1,3,2,1,96,91.6,18.2,150,39.13,9.24,3.48,7.1,3.08
107,Elida,5,1,0,1,7,7,5,7,1,1,1,1,7,5,7,1,1,7,1,0,0,3,5,3,5,9,5,2,5,3,5,5,7,2,1,3,1,1,99,92.6,20.8,144,26.89,7.39,3.54,5.52,3.06
108,Elio,5,1,0,1,3,7,3,3,5,1,1,1,5,1,3,1,1,5,1,0,0,7,5,2,1,7,7,4,5,3,5,3,7,2,1,3,2,1,87,68.4,14.8,160,28.15,7.17,3.67,5.2,3.13
109,Ellebi,7,1,0,1,3,3,5,5,5,1,1,1,5,1,3,1,1,7,1,0,0,3,4,3,3,7,5,1,3,7,3,7,3,5,1,3,1,1,89,69.6,21.2,137,27.6,9.52,2.56,7.64,2.17
110,Eolo,5,1,0,1,5,5,3,3,7,1,1,1,7,1,3,1,1,5,1,0,0,1,6,3,5,7,5,2,3,7,3,7,3,5,1,3,2,1,95,65,18.8,138,22.95,9.47,2.46,7.49,2.13
111,Ercole,5,1,0,1,3,7,3,5,7,1,1,1,5,1,5,1,1,5,1,0,0,5,4,2,3,7,5,3,5,7,5,7,5,4,1,3,1,1,95,79,18,145,30.05,8.94,3.14,6.7,2.69
112,Eridano,5,1,0,1,3,5,3,3,5,1,1,1,1,1,5,1,1,5,9,4,5,5,1,2,3,9,5,2,5,3,5,3,5,2,1,3,1,1,85,63.92,14.1,140,27.79,7.4,3.6,5.2,3.1
114,Europa,5,1,0,1,5,5,3,3,7,1,1,1,1,1,7,1,1,5,1,0,0,5,1,2,3,5,7,2,5,7,5,7,5,3,1,3,1,1,97,90.6,16.8,160,31.01,8.7,3.27,6.61,2.79
115,Eurosis,5,1,0,1,5,7,3,3,3,1,1,1,1,1,3,1,1,5,1,0,0,5,1,2,3,9,5,2,5,7,3,7,3,4,1,3,1,1,83,67.8,19.4,140,25.72,8.92,2.78,6.54,2.39
116,Evropi,5,1,0,1,7,5,3,3,9,1,1,1,1,1,3,1,1,5,1,0,0,5,1,2,3,7,7,2,5,7,5,7,5,3,1,3,0,1,110,74.8,17.6,159,27.1,8.92,3.3,6.59,2.76
117,Fanga,5,1,0,1,5,5,3,3,9,1,1,1,1,1,3,1,1,5,1,0,0,7,1,3,5,9,7,2,7,5,7,5,7,2,1,3,1,1,106,72.2,16.6,159,36.1,8.3,3.8,6.1,3.1
118,Fani,5,1,0,1,7,5,5,5,9,1,1,1,1,1,3,1,1,5,1,0,0,5,1,3,3,7,9,2,7,7,5,7,5,5,1,3,0,1,121,74.4,19.8,170,42.46,10.84,2.9,8.26,2.65
119,Fast,5,1,0,1,5,3,3,3,3,1,1,1,1,1,3,1,1,5,1,0,0,3,1,3,3,3,3,2,5,7,3,7,3,5,1,3,2,1,81,59.21,18.76,132,26.46,9.56,2.47,7.52,2.07
120,Fenis,5,1,0,1,7,5,5,5,7,1,1,1,7,1,5,1,1,7,1,0,0,1,6,3,5,9,5,2,3,5,3,7,3,5,1,3,2,1,95,86,20.02,140,19.4,8.47,2.22,6.81,2.01
121,Fidji,7,9,2,1,5,5,1,1,9,1,1,1,1,1,1,1,1,7,1,0,0,1,1,3,3,3,7,1,3,7,3,7,3,5,1,3,0,1,111,48,21.2,159,24.3,10.87,2.5,7.96,2.16
122,Filira,5,1,0,1,5,5,3,3,9,1,1,1,5,5,1,1,1,5,1,0,0,1,5,3,3,7,9,1,5,7,3,7,3,5,1,3,0,1,114,58,19.6,161,28.5,9.29,2.37,7.3,2.14
123,Flipper,5,1,0,1,3,5,3,3,3,1,1,1,1,1,3,1,1,5,1,0,0,5,1,2,3,7,5,2,3,7,5,5,5,3,1,3,1,1,83,65.8,16,140,24.42,8.86,3.35,6.27,2.87
124,Fonsa,7,1,0,1,5,7,1,3,3,1,1,1,1,1,1,1,1,3,1,0,0,1,1,2,3,7,5,2,5,5,5,5,7,2,1,3,1,1,105,50.8,13.6,167,32.9,8.03,3.57,5.83,3.04
125,Fragrance,5,1,0,1,5,3,3,3,5,1,1,1,9,5,3,1,1,5,1,0,0,1,6,3,3,7,5,2,3,7,3,7,3,5,1,3,2,3,89,60.2,19.2,143,24.97,9.7,2.7,7.6,2.4
126,Fulgente-Iro,5,1,0,1,7,5,3,5,3,1,1,1,1,1,5,1,1,5,1,0,0,5,1,3,3,9,5,2,5,5,5,5,5,3,1,3,0,1,83,86.2,18.6,143,28.49,8.38,3.25,6.22,2.76
127,Galatxo,7,1,0,1,7,5,3,3,9,1,1,1,1,1,3,1,1,7,9,1,1,7,1,3,5,7,9,2,7,7,7,7,7,3,1,3,1,1,111,61.2,20.8,172,37.6,8.53,3.78,6.38,3.2
